Resampled_Scientist	Gender	Type
named after Mr Zhanfeng Wang, who collected the type specimens	M	Scientist
Yael Lubin	M	Scientist
Mr. Zuwei Zha	M	Scientist
Xander Combrink	M	Scientist
D Yeates	M	Scientist
The species is named after Yu.N. Chernov, who made a great contribution to the study of the tundra fauna.	M	Scientist
Alan Yen	M	Scientist
Dr Verneau	M	Scientist
Dr Qingyuan Zhao 	M	Scientist
Mr Lance Wilkie	M	Scientist
named after Mr Haoyun Zhuang, the collector of the type specimens; noun (name) in genitive case	M	Scientist
n honor of Mr. Zhang Guo-Qing, who collected the specimens	M	Scientist
combination of two names that have been proposed by the collectors, Henrik Wessel Frank and Thorsten Kroes. The name wessel, is the name chosen by the senior collector, Henrik Wessel Frank. The additional name, tigrina is a Latin derivative of the common Indian name for these arachnids – tiger spider – and is the name that the second team of collectors wished to be included in the species name. As an aside the local Adivasi names for these spiders are Sapurgo, Balli and Pulli-Balli, all of which loosely translate out as tiger spider. I am grateful to Kroes and his team for undertaking to collect this information in the local Adivasi villages	M	Scientist
Dr. Pedro Wygodzinsky	M	Scientist
Wilton Ivie	M	Scientist
Vandel	M	Scientist
K Tojo	M	Scientist
Dr William Lamari	M	Scientist
dedicated to Mr. Suttisan Pimpasalee who organized numerous collecting trips to the study areas and for photographing a substantial number of spiders in their natural habitat	M	Scientist
C. Tellez	M	Scientist
Mr. Zhengfu Yang	M	Scientist
don José Manuel Viana	M	Scientist
dedicated to my good friend and colleague Slavcho Hristovski in recognition of his enthusiastic investigation of ground beetle fauna of Republic of Macedonia	M	Scientist
En honor al Dr. Manuel María Villada Peimbert (1841-1924), gran naturalista mexicano impulsor de las Ciencias Naturales en México, Director del Instituto Científico Literario del Estado de México (1881-1885), fundador del Gabinete de Historia Natural, hoy museo que lleva su nombre, Director de la primera revista científica mexicana “La Naturaleza”, de la Sociedad Mexicana de Historia Natural	M	Scientist
Collected by Mr. Yoshiaki NISHIKAWA	M	Scientist
collected for me in the Oregon territory by Lord Walsingham	M	Scientist
after Mr. Zhang, Yong-Jing, Professor of Ningbo University	M	Scientist
M. YOSHIKURA	M	Scientist
in honor of Dr. Keizo Takasuka, Ehime Univeristy	M	Scientist
dedicated to prof. Andrzej Warchałowski, eminent Polish entomologist, specialist in chrysomelid beetles	M	Scientist
Wang Jia-Fu	M	Scientist
Mr. Q-. H. K. Thwaites	M	Scientist
Jared Warden	M	Scientist
Dr K. Thon	M	Scientist
Edward O Wilson	M	Scientist
in honor to Pr. Hiroyuki Yoshitomi, Ehime University (collector)	M	Scientist
atronymic in honor to Diogo Tinoco Castro, a Brazilian arachnologist and also a close friend to the authors, better known among his friends by his middle name “Tinoco”, who collected (together with R. Baptista) all the studied specimens of this species	M	Scientist
Dr. Tamás Szűts	M	Scientist
Domenico Zanoni	M	Scientist
dedicated to Mr. Akihiki Yawata who collected the female and reared her spiderlings to adult in order to get a male used for this description	M	Scientist
Charles Water de Vis, pseudonym Thickthorn	M	Scientist
Mr. E. Whymper	M	Scientist
Professor Hiroshi YAMAUCHI,	M	Scientist
Graeme Wishart	M	Scientist
in honour of Dr. ZHANG Feng, who collected the type specimens	M	Scientist
Dirk Weinmann	M	Scientist
Dr Norman Tindale	M	Scientist
Theo Wassenaar	M	Scientist
Professeur Jean Verne	M	Scientist
in honor to Dr. Hiraku Yoshitake (NARO) (collector)	M	Scientist
J.M. Thibaud	M	Scientist
in honour of Didier Van den Spiegel who headed the Mt. Nimba expeditions and collected many specimens of Ctenidae during the 2008, 2010 and 2011 field work	M	Scientist
Mr J.A. Turner	M	Scientist
R. C. Wronghton	M	Scientist
Mr. R. Welch of Belfast	M	Scientist
Dr. J. Van Stalle	M	Scientist
Toby Schuh	M	Scientist
honouring the Iranian ecologist and naturalist Abdolhossein Vahabzadeh who has translated many biology texts into Persian and created the innovative “School of Nature” for young students	M	Scientist
after Prof. Dr. Zhang, Guren from Sun Yat-Sen University for his contribution on the systematics of Chinese clubionid species	M	Scientist
Dr. W. Van Cotthem	M	Scientist
Edwin Vandermarliere	M	Scientist
Specific name is dedicated to Mr. Yasunosuke CHIKuNI who collected the specimen and reported it by splendid photographs.	M	Scientist
A. Zilch	M	Scientist
James Zetek	M	Scientist
R. P. Vanderyst	M	Scientist
Paul West	M	Scientist
dedicated to friend Dr. Aldo Zullini	M	Scientist
Dr T E Woodward, of the University of Queensland	M	Scientist
Professor Traill	M	Scientist
Belgian arachnologists Johan and Koen van Keer	M;M	Scientist
dedicated to Messrs. Yuya D. Watari and Yuki G. Baba, the University of Tokyo, who collected the type specimens after enthusisastic searching	M;M	Scientist
Robert L. and Frances Weintraub	M;W	Scientist
Drs. Shun-Ichi and Yoshiko UENO	M;W	Scientist
The species is named in recognition of Mr and Mrs John Weigel, proprietors of the Australian Reptile Park, Gosford, Australia and the source of countless spider specimens given to the Australian Museum, Sydney	M;W	Scientist
C. and P. Vaurie	M;W	Scientist
Arthur and Margaret Thorsborne	M;W	Scientist
Dr Barbara York Main and Professor Bert Main	M;W	Scientist
The species epithet is dedicated to the collectors Drs Darrell and Suzanne Ubick	M;W	Scientist
Yoshiko UENO	W	Scientist
dr. Leonila Vazquez	W	Scientist
Elizabeth Turner, Curator of Zoology at the Tasmanian Museum and collector of these specimens	W	Scientist
Jenni Webber	W	Scientist
dedicated to Tharina Bird, curator of Arachnida at the Namibian National Museum	W	Scientist
in honour of the species collector, Dr. Sylvia Zakkak	W	Scientist
in honor of Prof. Ying-Qiu Tang (College of Life Sciences, Lanzhou University), for her help during our study on Chinese spider fauna	W	Scientist
Mary Whitehouse (CSIRO Narrabri), the collector of all specimens known of this species. The name also acknowledges her contributions to the behavioural ecology and ecology of spiders. Life’s a dance!	W	Scientist
L. A. Zhilcova	W	Scientist
Dr. W. Wesolowska	W	Scientist
Ana Lúcia Tourinho	W	Scientist
Dr. ASTA VILBASTE	W	Scientist
Julianne Waldock	W	Scientist
Susan Wright	W	Scientist
The specific name is the patronym in honour of Dr. Junxia Zhang, who contributed with a lot of work on the taxonomy of jumping spiders.	W	Scientist
H. Zapfe	W	Scientist
Suzanne Wiley	W	Scientist
In honor to Mrs. Tatyana Vshivkova (Russian hydrobiologist)	W	Scientist
in honor of the herpetologist Teresa Cristina Ávila-Pires, nicknamed TC (spelled Tecê, in Portuguese), who collected most of the types in pitfall traps while surveying for the herpetological inventory	W	Scientist
Laura Travassos	W	Scientist
named after miss Yuanye Zhou, who collected the type specimens	W	Scientist
Varpu Vahtera (Zoological Museum, University of Turku, Finland), an expert in centipedes	W	Scientist
Named in honour of Ursula Wilmot who has contributed much to the collecting and exploration of the Okavango Swamps arachnid fauna.	W	Scientist
Nicole Zyngie	W	Scientist
Xiang Xu	W	Scientist
Miss Xiaoxiao Wang	W	Scientist
Dr V. E. Todd Davies	W	Scientist
Claudia Szumik	W	Scientist
Dr V. I. Sytchevskaya , the well-known Russian arachnologist	W	Scientist
Mrs. Nevenna Tsanoff Travis	W	Scientist
Teresa Meikle Griswold (wife but also collector of spiders)	W	Scientist
The species is named in recognition of Dr Barbara York Main, doyenne of Australian trapdoor spiders.	W	Scientist
		
		
don José Manuel Viana		
from the name of Prof. YANG Ding of China Agricultural University ( CAU) for his help		
Mr W. Tyso		
-		
-		
Takeo Yaginuma		
W. Weyrauch		
A scientist?		
F. Woytkowski		
-		
CK Tarabaev		
Dr. F. R. Wanless		
Dr. F. R. Wanless		
R. Walls		
A.T. Urquhart		
A. Zilch		
Mr Tom Weir		
Westring		
Tullgren		
A person?		
Takeo Yaginuma		
from Prof. Seiki Yamane who collected the species		
Belgian arachnologists Johan and Koen van Keer		
Alan Yen		
-		
Zhiyuan Yao		
Dr. WU Min		
J. Tschon		
G. F. de Witte		
This spider was received in 1870 from Mr. E. Whymper (witli whose name I have connected it) .		
Antonio Valle		
-		
in honor of the professor Xiaodong Yang for his help in the collection		
Prof. Mingsheng Zhu		
W. Weyrauch		
Named in honour of Dr Samuel Zschokke, who supervised my PhD thesis		
dedicated to the Canadian arachnologist, Mr Rick C. West (British Columbia, Canada), who inspired the second author in his childhood to become an arachnologist		
Carden Wallace		
-		
Alfred R. Wallace		
P. Vanzolini		
in honour of Guy Tansley, in recognition of his notable contributions to the understanding of theraphosid ecology through his extensive fieldwork		
dedicated to the Turkish entomologist Mr. Dr. Serdar Tezcan		
Mr. Ye He-Qing		
-		
son	M	NonScientist
Adv. Arun Shelke, President of Shri Shivaji Education Society Amravati, Maharashtra, India	M	NonScientist
The species name ‘kasuku’ (Swahili for parrot) is a noun in apposition and refers to the infraocular swelling in the male. It also refers to the father of the first author René Henrard, alias ‘Kasuku’. 	M	NonScientist
M. Barthelemi, local politician	M	NonScientist
Ewan Jay Martyr McLean, the son of Stacey McLean, Senior Program Officer, Biodiversity Planning, Environment and Parks Branch, Brisbane City Council	M	NonScientist
Collector: Mr. M. J. Colclough	M	NonScientist
a patronym after my brother, Jernej Kuntner	M	NonScientist
M Lejeune	M	NonScientist
Screen actor Harrisson Ford	M	NonScientist
Enrique Sanchez Rodriguez, the first author’s father	M	NonScientist
Dr Redikorzev, collector	M	NonScientist
The specific name is a noun in apposition taken from the type locality, in honor of N. S. Platnick.	M	NonScientist
For Petet Abelard, 1079-1144, French Aristotelian logician, moral philosopher, poet and theologian	M	NonScientist
"The specific name ""dasani"" refers to Yak-Yong Jung's pen name ""Dasan"", whose heritage site is the type locality of this species. Dasan Yak-Yong Jung is regarded as one of the greatest scholars of Silhak(Realist school of Confucianism) from the late Joseon Dynasty in Korean history"	M	NonScientist
Major R.E. Lloyd, collector	M	NonScientist
Merlijn Joqué	M	NonScientist
Australian surfer, Mick Fanning	M	NonScientist
from the first name of the collector Y. X. Li, who was only 11 years old when he first collected the type specimen	M	NonScientist
M. Regino Garcia (gardener)	M	NonScientist
after Sergei V. Tyura (Magadan, Russia) a friend of the junior author	M	NonScientist
M. Ferdinand	M	NonScientist
husband	M	NonScientist
Dominican poet and writer Pedro Julio Mir Valentín (1913– 2000)	M	NonScientist
Mr. F. Pagh Jensen	M	NonScientist
Phra Sunthorn Vohara, known as Sunthorn Phu (1786–1855), Thailand’s bestknown royal poet whose epic poetry (Nirat) is popular in Thailand to the present day.	M	NonScientist
Jose Rodolfo da Silva help during fieldwork	M	NonScientist
tribute to the Indian Kargil war hero, Captain Vikram Batra, PVC, an officer of the Indian Army. He was posthumously awarded with the Param Vir Chakra (the India’s highest and most prestigious award for valour) for his tremendous actions during the 1999 Kargil War in Kashmir, for which he was also known as ‘Sher Shah’ (‘Lion King’)	M	NonScientist
son Donald	M	NonScientist
husband	M	NonScientist
Johnny Wayne, comedian	M	NonScientist
Judge João Carlos Sá Moreira de Oliveira	M	NonScientist
son	M	NonScientist
husband	M	NonScientist
Anton Lamboj, assistant	M	NonScientist
Ludo Collingwood, a world-renowned painter of rainforest creatures	M	NonScientist
first author’s paternal grandmother whose surname was Goodbread	M	NonScientist
Swiss artist Hansruedi Giger (February 5, 1940– May 12, 2014)	M	NonScientist
M.L. Bartholin, engineer of mines	M	NonScientist
maréchal Franchet d'Esperey	M	NonScientist
Andrej Komac, late friend of 1st author	M	NonScientist
in honour of the Great Bulgarian Ruler Khan Tervel (700 - 721)	M	NonScientist
host of Prof. Becari during his journey	M	NonScientist
Luis Carlos Prestes, local owner	M	NonScientist
brother	M	NonScientist
Michael Bellomo a bestselling author of books on science and technology. He is based in Los Angeles, California, and is extremely nervous around any arachnid larger than 1 mm.	M	NonScientist
in honor to the most important Argentine musician of folklore Atahualpa Yupanqui, pseudonym of Héctor Roberto Chavero Aramburu	M	NonScientist
32 letters (gen + sp) The specific name is a noun in apposition and commemorates King Andrianampoinimerina, who unified the Merina Kingdom  	M	NonScientist
collector Yong Ki Kim	M	NonScientist
For Robert Collins, who first pressed for the designation of the McPherson Range area as a national park	M	NonScientist
Alf Cain, in appreciation for teaching me how to fish and the importance of a firm handshake	M	NonScientist
Brian P.G. St. Jean de la Salle Eno, all-round artist and pioneer of minimal and ambient music, who revolutionized popular music in many ways.	M	NonScientist
after the first author’s grandfather, Jesudas Nuthakki	M	NonScientist
named after the host of type collector during his stay in Turkey	M	NonScientist
Max Moormann, a young man who enjoys being on his hands and knees in the dirt discovering the secret life of the outback	M	NonScientist
Johannes Pachelbel (1653–1706), a German composer and organist	M	NonScientist
the deceased writer Jorge Amado, natural from the state of Bahia	M	NonScientist
Roman poet PubliusOvidius Naso (Ovid)	M	NonScientist
in honor of the Inca leader, Tupac Yupanqui, who unified the agricultural populations of Ecuador	M	NonScientist
Lt. Kelvin Murray who helped during fieldwork	M	NonScientist
Declan, son of the author	M	NonScientist
dedicated to the late President Chi Minh Ho from Vietnam	M	NonScientist
Simón Bolivar	M	NonScientist
The species name honours Jacques Roumain (1907–1944), author of Masters of the Dew, about a young Haitian man’s effort to save a oncethriving community from drought and family feuds.	M	NonScientist
M. Monard, doctor	M	NonScientist
The species is named for a character in Brazilian folklore (Saci) who grants wishes to anyone who manages to trap him (I did!)	M	NonScientist
Yuki, son of Aki Nakamura, who collected lot of spiders.	M	NonScientist
Mr. Jin-Xin Liu, exploration team logisitc support	M	NonScientist
David, king of Israel in XI/X century B.C	M	NonScientist
The specific epithet is a patronym dedicated to Oscar Alan Paull	M	NonScientist
in honour of Gerald Duckitt (Pakse, Laos) for running the organisation “Global Association for People and Environment” in Laos and for his efforts to support local tribes in Laos and increase their standard of living as well as for his kind help during my expeditions in Champasak Province	M	NonScientist
Melchisédec Thévenot	M	NonScientist
Leonardo Pantini (son)	M	NonScientist
geoffroy Tate	M	NonScientist
collector, Claude Besuchet	M	NonScientist
Thomas R. Dutton (job not specified)	M	NonScientist
The species is named in recognition of a good friend of GW, Max Hicks, late of Lennox Head, NSW.	M	NonScientist
Sent by Rev. L.S. Lea	M	NonScientist
Ron Gerlach	M	NonScientist
Pedro II Railway, last emperor of Brazil	M	NonScientist
Mr Jürgen Kreutzmann for his support	M	NonScientist
Floren Fadrique	M	NonScientist
Reinhard Flessner, Queensland's Unviersity Manager	M	NonScientist
author’s father, Thathapudi David	M	NonScientist
Mr. Antonio Urquiza, who donated the land that is now the Chamela Biological Station	M	NonScientist
honor of Caonabo, a Taíno cacique and husband of Anacaona, who was from the cacicazgo of Maguana, which encompasses the present-day range of the species. Caonabo resisted the Spanish and destroyed Fort La Navidad before being captured and taken back to Spain by Columbus; however, he died on the way in a shipwreck	M	NonScientist
Sr. Rafael Chavarria,	M	NonScientist
Named for the Filipino artist Hernando Ruiz Ocampo (1911–1978), famous for his work reflecting the harsh realities of his country after the Second World War, but also for his interest in depicting Philippine flora and fauna.	M	NonScientist
Mr. David Goh for his help and support with our research over the past decade in West Malaysia	M	NonScientist
Son	M	NonScientist
Guadarfia, last king of the native inhabitants	M	NonScientist
Father	M	NonScientist
Jan De Beir for field assistance	M	NonScientist
Oliver Nash, 8-years-old boy fashinated by spiders	M	NonScientist
Tun Datuk Patinggi Tan Sri Temenggong Jugah anak Barieng (1903–1981), long-time chief of the Iban people, widely known for his statement “Do not be like the sugar cane, sweet at the beginning but tasteless at the end”	M	NonScientist
Lewis Roberts, a remarkable collector, naturalist and bushman in the Cooktown area	M	NonScientist
Chabarov, an explorer	M	NonScientist
Wollaston Expedition	M	NonScientist
great Persian-Tadjik poet RUDAKI who once wrote a poem on a girl from Shiraz.	M	NonScientist
Carlo Viquez, collector	M	NonScientist
my primary school teacher, Mr Siegfried Jagelki (Paderborn, Germany), for his ambitious and excellent lessons and teaching	M	NonScientist
a patronym after my father, Tone Kuntner	M	NonScientist
Bob Marley, an internationally renowned Jamaican Reggae singer and songwriter.	M	NonScientist
brigadier GLENNIE	M	NonScientist
Mr. W. tt. Wright, a teacher in Chicago from whom I have received specimens of both sexes.	M	NonScientist
Carlos de Mazarredo, companion on the field	M	NonScientist
Rick Allen, drummer for the British rock band Def Leppard, who lost an arm in a car accident but continues to play the drums with an especially adapted drum set	M	NonScientist
Thomas Lipton, tea merchant	M	NonScientist
in honour of my friend, Rafael Cobo.	M	NonScientist
Nelson Rolihlahla Mandela	M	NonScientist
Jair Aparecido Ribeiro, a great friend, who fought cancer until his last day	M	NonScientist
Mr. Terry Raines	M	NonScientist
friend Alphonso deCaprio	M	NonScientist
named after the famous poet Rabindra Nath Tagore	M	NonScientist
Baron Erland Nordenskiöld	M	NonScientist
Bruno May, for supporting biodiversity research through BIOPAT e.V	M	NonScientist
Secondary school maths and physics teacher, Klaus Beyersdorf (Paderborn, Germany), for his patience with a class of children (Sexta to Quarta) and his excellent teaching	M	NonScientist
Simón Bolivar	M	NonScientist
Mexican historical figure Pancho Villa	M	NonScientist
This species is dedicated to Pope Francis, the present reigning Pope of the Catholic Church in honour of his great contributions as an environmental conservationist.	M	NonScientist
Germain Kouassi Konan, Technicien for help	M	NonScientist
Mr Mohammad Mansouri (Iran: Isfahan), a highly qualified caving instructor.	M	NonScientist
His Majesty King Bhumibol Adulyadej the Great of Thailand, King Rama IX on the auspicious celebration of His Majesty’s 84th Birthday in December, 2011	M	NonScientist
David Bowie	M	NonScientist
Named after our friend Vítězslav Bryja, a Czech molecular biologist and enthusiastic arachnologist, who discovered this species.	M	NonScientist
similar shape to the hook of Captain Hook from Peter Pan	M	NonScientist
hijo Esteban Cardulli	M	NonScientist
Named after Mr. F. H. Popham, founder of the NIFS Arboretum	M	NonScientist
dedicated to travelers L.J. Fontana and E. Lynch Arribalzaga	M	NonScientist
grandfather	M	NonScientist
Pat Comben, Minister of Environment	M	NonScientist
Fred Malcom Keeley	M	NonScientist
Florian (son)	M	NonScientist
Lieutenant de vaisseau Blaise	M	NonScientist
f Felipe Arida, grandson of the last author	M	NonScientist
Alex Enrique Sánchez Jardines (Son)	M	NonScientist
Roman lyric poet Catull	M	NonScientist
D Hildebrandt (cabaret artist)	M	NonScientist
Weerahennadige Francisco Fernando alias Puran Appu, member of the Matale Rebellion. He was executed by a firing squad on August 8, 1848	M	NonScientist
The specific epithet is patronym in honor of Nathaniel Evans in recognition of the Evans family support of biodiversity research at East Carolina University, Greenville, North Carolina.	M	NonScientist
Aubert de la Rue	M	NonScientist
Chris Hollins, collaborator	M	NonScientist
Elbano Paschoal de Figueiredo Moraes, a Brazilian environmentalist	M	NonScientist
For Patryk Patoleta, Barbara Patoleta’s son. 	M	NonScientist
Francisco Mutolon accompanying during the discovery of the species	M	NonScientist
Armando Ruiz Balcells, the first author’s grandfather	M	NonScientist
Roman Emperor	M	NonScientist
Simón Bolivar	M	NonScientist
Mr. Herbert Sheftel	M	NonScientist
mr. Logan Mcnatt	M	NonScientist
M. Ghandi	M	NonScientist
His Royal Highness Prince Damrong Rajanubhab of Siam (1862-1943), a great statesman who lived in Penang for almost a decade	M	NonScientist
son Eiður Francis	M	NonScientist
M Lejeune	M	NonScientist
Paul Askew who, while my neighbour, provided valuable field assistance.	M	NonScientist
Roman  general  Corbulo  	M	NonScientist
Edward Saidi Tingatinga (1932–72), a self-taught painter who established Tanzanian Tingatinga, a style of art which involves painting on masonite using bicycle paint	M	NonScientist
Surgeon-Capt. Clements	M	NonScientist
Lieutenant-Colonel De Fonlongue (Mission de l'Equateur crew )	M	NonScientist
honour of my uncle	M	NonScientist
George Milwa Mnyaluza Pemba (1912–2001), one of South Africa’s greatest pioneering artists.	M	NonScientist
Named for naturalized Brazilian Héctor Julio Páride Bernabó (1911–1997), also known as Carybé, painter, engraver, illustrator, sculptor, historian, and journalist.	M	NonScientist
Noel Starick	M	NonScientist
Mr Brocca Jr.	M	NonScientist
Markus Koller-Furrer a Swiss teacher	M	NonScientist
brother	M	NonScientist
Alphonse Meillon	M	NonScientist
Johan Mertens (and family)	M	NonScientist
Harry Butler, TV person	M	NonScientist
Dr. Carlos Víquez	M	NonScientist
This species is named after Darrell Ubick’s late father, ‘‘Valter’’ Ubick, in remembrance of many years of companionship, and is given in Croatian genitive.	M	NonScientist
MM. J. Bonnier	M;M	NonScientist
Mr and Mrs J. Collins	M;W	NonScientist
Dr and Mrs Boyce	M;W	NonScientist
Chris Burwell & his daughter	M;W	NonScientist
supporters, Mr. and Mrs. Sakieda	M;W	NonScientist
The species epithet, a noun in apposition, is dedicated to the first author’s dear friends Alejandro Peris and Alma Garza.	M;W	NonScientist
Anne and Herman J Schwalbach	M;W	NonScientist
Kristin Swift and John Swift	M;W	NonScientist
G. & E. Peckham	M;W	NonScientist
in honour of Paul and Karen Kopejtka, in recognition of their generous support for the Western Australian Museum Foundation	M;W	NonScientist
the wife or girlfriend of the author, Natasha Langlands [typos in the species description; spelled nastashae]	W	NonScientist
The species epithet refers to the name of Agatha Christie, born as Agatha Mary Clarissa Miller, who was a brilliant and famous English author of novels, short stories and plays	W	NonScientist
first author’s wife, Thalita Camara Ximenes Pereira	W	NonScientist
Named for Dandara dos Palmares (died in 1694), wife of Zumbi who also lost her life in the struggle against Portuguese oppression and slavery.	W	NonScientist
grandmother	W	NonScientist
